prefecture,city,ward,population
Niigata-ken,Sado,"",59606
Niigata-ken,Uonuma,"",38914
Niigata-ken,Minamiuonuma,"",59636
Niigata-ken,Tainai,"",30827
"",Tainai,"",""
Toyama-ken,Toyama,"",419849
Toyama-ken,Takaoka,"",175719
Toyama-ken,Uozu,"",43555
Toyama-ken,Himi,"",50599
Toyama-ken,Namerikawa,"",33681
Toyama-ken,Kurobe,"",42108
Toyama-ken,Tonami,"",49406
Toyama-ken,Oyabe,"",31303
Toyama-ken,Nanto,"",53795
Toyama-ken,Imizu,"",94701
"",Imizu,"",""
Ishikawa-ken,Kanazawa,"",453081
Ishikawa-ken,Nanao,"",56195
Ishikawa-ken,Komatsu,"",108823
Ishikawa-ken,Wajima,"",29411
Ishikawa-ken,Suzu,"",15951
Ishikawa-ken,Kaga,"",70273
Ishikawa-ken,Hakui,"",22831
Ishikawa-ken,Kahoku,"",35030
Ishikawa-ken,Hakusan,"",112692
Ishikawa-ken,Nomi,"",49818
Ishikawa-ken,Nonoichi,"",51126
"",Nonoichi,"",""
Fukui-ken,Fukui,"",267355
Fukui-ken,Tsuruga,"",67835
Fukui-ken,Obama,"",30590
Fukui-ken,Ono,"",35251
Fukui-ken,Katsuyama,"",24880
Fukui-ken,Sabae,"",68963
Fukui-ken,Awara,"",29359
Fukui-ken,Awara,Echizen,83767
Fukui-ken,Sakai,"",93531
"",Sakai,"",""
Yamanashi-ken,Kofu,"",193570
Yamanashi-ken,Fujiyoshida,"",50891
Yamanashi-ken,Tsuru,"",31781
Yamanashi-ken,Yamanashi,"",36717
Yamanashi-ken,Otsuki,"",26496
Yamanashi-ken,Nirasaki,"",30752
Yamanashi-ken,Minamiarupusu,"",72900
Yamanashi-ken,Hokuto,"",48543
Yamanashi-ken,Kai,"",74811
Yamanashi-ken,Fuefuki,"",71038
Yamanashi-ken,Uenohara,"",25166
Yamanashi-ken,Koshu,"",33731
Yamanashi-ken,Chuo,"",31172
"",Chuo,"",""
Nagano-ken,Nagano,"",384428
Nagano-ken,Matsumoto,"",242446
Nagano-ken,Ueda,"",160267
Nagano-ken,Okaya,"",51720
Nagano-ken,Iida,"",104792
Nagano-ken,Suwa,"",51162
Nagano-ken,Suzaka,"",51990
Nagano-ken,Komoro,"",43506
Nagano-ken,Ina,"",69858
Nagano-ken,Komagane,"",33553
Nagano-ken,Nakano,"",46088
Nagano-ken,Omachi,"",29238
Nagano-ken,Iiyama,"",22764
Nagano-ken,Chino,"",56346
Nagano-ken,Shiojiri,"",67666
Nagano-ken,Saku,"",99919
Nagano-ken,Chikuma,"",61861
Nagano-ken,Tomi,"",30936
Nagano-ken,Azumino,"",98630
"",Azumino,"",""
Gifu-ken,Gifu,"",415520
Gifu-ken,Ogaki,"",162847
Gifu-ken,Takayama,"",91571
Gifu-ken,Tajimi,"",114215
Gifu-ken,Seki,"",91494
Gifu-ken,Nakatsugawa,"",81613
Gifu-ken,Mino,"",22017
Gifu-ken,Mizunami,"",39334
Gifu-ken,Hashima,"",68695
Gifu-ken,Ena,"",53052
